"fecha","total","agro","combustibles","manufacturas","otros","share_total","share_nocom","share_totalindex","share_nocomindex","t","share_totalfitted","share_nocomfitted"
"5-2014",5495866.52583998,736007.128319999,3820660.8749,811259.342139999,127939.18048,13.3920124307879,43.9353298448472,68.8456436727703,123.259604993394,101,85.9773528516777,110.633708045341
"6-2014",4704814.49167001,604038.43498,3258869.53411,719824.103260004,122082.41932,12.8387301146403,41.774649292273,66.0013305133554,117.197863056604,102,85.9690976700607,110.855493545869
"7-2014",5048930.41977996,653973.323420001,3343497.08963,912871.86833,138588.1384,12.9527101593233,38.3464608002294,66.5872790093414,107.580155374326,103,85.9608424884437,111.077279046398
"8-2014",4813090.58065999,616495.78481,3263028.38845,817102.528859999,116463.87854,12.8087301595197,39.7723257755894,65.8471067750557,111.580388313454,104,85.9525873068267,111.299064546926
"9-2014",5077247.49736997,630800.172069998,3437872.36574,862605.439859995,145969.5197,12.4240579644139,38.4780859425882,63.8695843517494,107.949426826518,105,85.9443321252097,111.520850047454
"10-2014",4322277.64234003,597311.75275,2771778.59699,826702.548389996,126484.74421,13.8193749262859,38.5238387950865,71.0426283482418,108.077785451483,106,85.9360769435926,111.742635547982
"11-2014",3794686.04023999,637713.09583,2284603.67446,771892.786770001,100476.48318,16.8054244558706,42.2303518192935,86.3933086859047,118.476326508987,107,85.9278217619756,111.964421048511
"12-2014",3794710.52231,577030.809859999,2201974.70485,835581.964000001,180123.0436,15.206187836134,36.2289089963591,78.1719547228724,101.639410196816,108,85.9195665803586,112.186206549039
"1-2015",2916976.11615,626019.426989998,1603209.04604,591408.896840002,96338.74628,21.4612462379793,47.6507168761341,110.327952494783,133.683041883278,109,85.9113113987416,112.407992049567
"2-2015",3160956.71445,636706.826189999,1821877.061,664958.111399997,37414.71586,20.142851791654,47.5480920458757,103.550351686767,133.395130171113,110,85.9030562171246,112.629777550095
"3-2015",3461943.51478,623904.60254,2041249.435,707761.32861,89028.14863,18.0218019120294,43.9154784566016,92.6464606562372,123.203912358734,111,85.8948010355076,112.851563050624
"4-2015",3219706.31862,595880.83083,1802627.87719,706787.53291,114410.07769,18.5073038302885,42.0499538634351,95.1423284161915,117.970223997427,112,85.8865458538906,113.073348551152
"5-2015",3381083.57571,584284.735690001,1993905.62959,733115.450030001,69777.7604,17.2809906234662,42.1203881826605,88.8380987491099,118.167825936376,113,85.8782906722736,113.29513405168
"6-2015",3217407.66008,481214.64759,1819366.43618,799678.417400001,117148.15891,14.9565954467217,34.420633623921,76.8888504251636,96.5663332695891,114,85.8700354906565,113.516919552209
"7-2015",3043778.02179,608181.25578,1586812.94735,745286.055209999,103497.76345,19.9811304052435,41.7430222899311,102.718974550535,117.109134194671,115,85.8617803090395,113.738705052737
"8-2015",2868451.05865,533163.40125,1555474.92104,675090.74105,104721.99531,18.5871534967352,40.6072422778767,95.5528194989909,113.922728262598,116,85.8535251274225,113.960490553265
"9-2015",2898168.21067,625449.93594,1452753.48487,728338.403679997,91626.38618,21.5808707595826,43.2713134006456,110.942918111891,121.396721411765,117,85.8452699458055,114.182276053793
"10-2015",2815522.01193,552596.687730001,1509822.80972,660625.348730001,92477.16575,19.6267933757408,42.3218982438441,100.897399115231,118.733157996734,118,85.8370147641885,114.404061554322
"11-2015",2444534.55375,511273.058,1227965.48843,621434.846740001,83861.16058,20.9149450236115,42.025814446097,107.519527776187,117.902501391124,119,85.8287595825715,114.62584705485
"12-2015",2588993.90885,555962.5982,1202726.0767,726585.867370001,103719.36658,21.4740790350856,40.1049916405939,110.393923324893,112.513675107022,120,85.8205044009545,114.847632555378
"1-2016",1919053.13478,433952.20618,923138.896049999,487422.6942,74539.33835,22.6128291247,43.5732505173718,116.248008609469,122.243799375489,121,85.8122492193375,115.069418055906
"2-2016",2328722.58277001,634163.66068,1021547.04113,582778.967090005,90232.91387,27.2322545146474,48.5140396586953,139.995545883115,136.105075029179,122,85.8039940377205,115.291203556435
"3-2016",2334998.44147,609666.014650002,1032040.74187,595090.327319999,98201.35763,26.109910988471,46.7909291941838,134.225803442916,131.270926384666,123,85.7957388561034,115.512989056963
"4-2016",2463792.94332,694412.26193,1084946.11777,595973.70488,88460.85874,28.1846842614245,50.3618131515812,144.891795741666,141.288963067681,124,85.7874836744864,115.734774557491
"5-2016",2751470.41092,582965.91151,1405689.61664,662487.109410001,100327.77336,21.1874316073447,43.3180436210557,108.920326524415,121.527822020987,125,85.7792284928694,115.956560058019
"6-2016",2780511.64633,564851.49963,1510721.58831,627632.782639999,77305.77575,20.3146604465962,44.4838495987896,104.433585442647,124.798465141725,126,85.7709733112524,116.178345558548
"7-2016",2266997.48685,398591.98508,1320327.24702,460026.11106,88052.14369,17.582374369274,42.1046282337531,90.3874519982859,118.123611745111,127,85.7627181296354,116.400131059076
"8-2016",3044377.39168,515676.869169999,1582506.81241,825095.147059997,121098.56304,16.9386643909292,35.275138338683,87.078268406442,98.9636275195356,128,85.7544629480184,116.621916559604
"9-2016",2797686.4728,524663.86522,1397914.35573,693902.128450003,181206.1234,18.7534904400815,37.4820914648754,96.4079242855508,105.155186147502,129,85.7462077664014,116.843702060133
"10-2016",2770014.09618,480854.15747,1431113.17069,682497.283249998,175549.48477,17.3592675262239,35.9140955327984,89.2405045699615,100.756207924246,130,85.7379525847844,117.065487560661
"11-2016",2833622.04965,587726.020790001,1362766.55099,651850.22667,231279.2512,20.7411578005823,39.9581074636794,106.626122599528,112.101594767801,131,85.7296974031674,117.287273061189
"12-2016",3477094.32453001,837224.228480001,1728854.28217,661351.649210004,249664.16467,24.0782719805327,47.8895465264486,123.781555729207,134.353073233047,132,85.7214422215503,117.509058561717
"1-2017",2785044.44491,537258.986280001,1637139.90096,486555.73567,124089.822,19.2908586167056,46.8034549659734,99.1704260529401,131.306067162907,133,85.7131870399333,117.730844062246
"2-2017",2716024.37573,566750.293839999,1447487.9214,523154.857519999,178631.30297,20.8669074881801,44.677493650692,107.272576463655,125.341729285436,134,85.7049318583163,117.952629562774
"3-2017",3296965.0517,787523.421040002,1691338.0343,643487.2104,174616.38596,23.8863138884027,49.047718586303,122.794737767442,137.602299564479,135,85.6966766766993,118.174415063302
"4-2017",2684445.28908,552714.81584,1483407.7704,509614.80306,138707.89978,20.5895355024883,46.0197793360745,105.846662846083,129.107482358254,136,85.6884214950823,118.39620056383
"5-2017",3505436.03863,720054.910390002,1916451.40036,691552.382599997,177377.34528,20.541093959638,45.3154104229704,105.59763461263,127.131390809484,137,85.6801663134653,118.617986064359
